UniqueCount	AmbigCount
0	29
0	25
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	29
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	30
0	30
0	29
0	29
0	29
0	29
0	29
0	22
0	18
0	18
0	17
0	18
0	26
0	26
0	26
0	25
0	25
0	27
0	26
0	26
0	26
0	26
0	25
0	25
0	25
0	27
0	27
0	27
0	26
0	26
0	26
0	26
0	26
0	15
0	15
0	15
0	31
1	31
32	0
0	29
0	31
0	29
0	31
0	28
0	30
0	27
0	29
0	27
0	29
0	12
0	25
0	23
0	25
0	23
0	21
0	21
0	29
0	29
0	30
0	28
0	30
0	28
0	27
0	29
0	27
0	27
0	11
0	24
0	54
0	50
0	50
0	50
0	54
0	54
0	54
0	54
0	55
0	55
0	54
0	55
0	55
0	55
0	54
0	54
0	54
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	54
0	54
0	54
1	54
0	52
0	52
0	54
0	54
0	54
0	54
0	7
0	52
0	52
0	52
0	50
0	52
0	52
0	51
0	7
0	49
0	30
2	28
0	30
0	50
0	52
0	50
0	50
0	52
0	50
0	50
0	52
0	54
0	52
0	52
0	54
0	52
0	56
0	54
0	52
0	52
0	50
0	50
0	50
0	56
0	52
0	50
0	51
0	51
0	51
0	13
0	13
0	51
0	51
0	51
0	51
0	51
0	51
0	38
0	39
0	41
0	42
0	42
0	39
0	43
0	38
0	39
0	15
0	10
0	38
0	38
0	42
0	39
0	40
0	36
0	41
0	41
0	43
0	45
0	42
0	43
0	43
0	42
0	42
0	35
0	39
0	38
0	37
0	39
0	36
0	37
0	37
0	31
0	9
0	9
0	14
0	14
0	15
0	14
0	14
0	10
0	11
0	14
0	12
0	6
0	19
0	19
0	19
0	19
0	17
0	19
0	17
0	17
0	19
0	19
0	18
0	8
0	8
0	35
0	16
0	35
0	16
0	8
0	8
0	8
0	8
0	8
0	18
0	8
0	8
0	37
0	16
0	37
0	16
0	8
0	8
0	8
0	8
0	48
0	51
0	51
0	51
0	48
0	42
0	48
0	16
0	11
0	11
0	11
0	42
0	48
0	51
0	51
0	51
0	42
0	16
0	11
0	11
0	11
0	51
0	42
16	56
19	35
0	42
0	40
0	41
0	41
0	20
0	44
0	42
0	42
0	42
0	42
0	43
0	41
0	44
0	42
0	42
0	44
0	42
0	42
1	42
0	42
0	40
0	40
0	20
0	20
0	22
0	22
0	20
0	20
0	20
0	20
0	20
0	18
0	42
0	18
0	41
0	19
0	43
0	41
0	41
0	41
0	41
0	42
0	40
0	43
0	41
0	19
0	19
0	21
0	21
0	19
0	19
0	19
0	19
0	19
0	41
0	35
0	47
0	47
0	47
0	47
0	47
0	46
0	47
0	47
0	47
0	47
0	47
0	47
0	49
0	49
0	47
0	44
0	47
0	44
0	49
0	46
0	49
0	46
0	47
0	49
0	49
0	46
0	47
0	47
0	49
0	46
0	47
0	49
0	45
0	35
0	35
0	37
0	27
0	49
0	47
0	47
0	37
0	37
0	37
0	47
0	47
0	47
0	47
0	47
0	46
0	47
0	47
0	47
0	47
0	47
0	47
0	49
0	49
0	44
0	47
0	44
0	49
0	46
0	49
0	46
0	47
0	49
0	49
0	46
0	47
0	47
0	49
0	46
0	47
0	49
0	47
0	47
0	37
0	37
0	37
0	78
0	76
0	71
0	61
0	20
0	20
0	20
0	20
0	75
0	67
0	57
0	21
0	21
0	21
0	21
2	72
0	77
0	75
0	27
0	20
1	28
0	27
0	20
0	20
6	22
0	45
0	6
0	45
1	47
0	47
0	45
0	43
0	45
0	43
0	6
0	30
0	32
0	32
0	35
0	32
0	32
0	35
0	35
0	32
0	32
0	35
0	35
0	33
0	6
0	6
0	6
0	6
0	6
5	41
0	35
0	32
0	32
0	32
0	35
0	32
0	32
0	32
0	35
0	32
0	32
0	35
0	32
0	32
0	32
0	35
0	35
0	32
0	35
0	35
0	6
0	6
0	6
0	28
0	28
0	38
0	38
0	38
0	37
0	37
0	37
0	37
0	32
0	42
0	40
0	41
0	39
0	39
0	14
0	27
0	27
0	35
0	35
0	40
0	38
0	35
0	35
0	38
0	31
0	55
0	56
0	53
0	54
0	53
0	54
0	53
0	53
0	54
0	52
0	53
0	26
0	27
0	25
0	42
0	40
0	38
0	39
0	40
0	38
0	39
0	37
0	36
0	34
0	34
0	32
0	20
0	49
0	49
0	51
0	34
0	22
0	34
0	39
0	41
0	26
0	26
0	26
0	55
0	56
0	53
0	54
0	53
0	54
0	53
0	53
0	52
0	25
0	37
1	48
0	46
0	48
0	42
0	44
0	47
0	48
0	48
0	46
0	50
0	47
0	34
0	33
0	31
0	30
0	48
0	48
0	53
0	16
0	48
0	53
0	16
0	43
2	45
1	46
0	43
0	41
0	39
0	36
0	37
0	32
0	36
0	34
0	39
0	37
0	30
0	27
0	39
0	39
0	36
0	34
0	24
0	48
0	45
0	49
0	46
0	50
0	45
0	49
0	46
0	50
0	50
0	48
0	52
0	53
0	48
0	52
0	53
0	48
0	48
0	50
0	48
0	52
0	53
0	53
0	44
0	42
0	41
0	44
0	37
0	37
0	37
0	40
0	16
0	51
0	49
0	47
0	47
0	49
0	46
2	47
0	46
0	54
0	54
0	52
0	52
0	45
0	37
0	34
0	15
0	15
0	35
0	35
0	32
0	53
0	46
0	38
0	35
0	52
0	15
0	33
0	33
0	30
0	29
1	31
0	31
