Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
AbrahamSimpson	1.11.4	none	vb	[]	1	['IU']	1001	225.97478597074021	157.69419356108168	False	False	4096	mapping	False	679	0	442	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1320	1320	0	230	0	61	100.0	quant	Thu May 21 15:58:32 2026	Thu May 21 15:58:33 2026
BartSimpson	1.11.4	none	vb	[]	1	['IU']	1001	192.20934217445577	106.04030233640356	False	False	4096	mapping	False	679	0	465	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1328	1328	0	207	0	17	100.0	quant	Thu May 21 15:58:33 2026	Thu May 21 15:58:34 2026
HomerSimpson	1.11.4	none	vb	[]	1	['IU']	1001	216.5838781777888	128.14225751503244	False	False	4096	mapping	False	679	0	437	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1320	1320	0	223	0	58	100.0	quant	Thu May 21 15:58:34 2026	Thu May 21 15:58:34 2026
LisaSimpson	1.11.4	none	vb	[]	1	['IU']	1001	202.15702087189862	132.92598795741517	False	False	4096	mapping	False	679	0	445	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1320	1320	0	250	0	31	100.0	quant	Thu May 21 15:58:34 2026	Thu May 21 15:58:35 2026
MaggieSimpson	1.11.4	none	vb	[]	1	['IU']	1001	200.66998068231732	106.69339925688885	False	False	4096	mapping	False	679	0	469	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1328	1328	0	215	0	0	100.0	quant	Thu May 21 15:58:35 2026	Thu May 21 15:58:36 2026
MargeSimpson	1.11.4	none	vb	[]	1	['IU']	1001	206.45930407140747	139.26957088433858	False	False	4096	mapping	False	679	0	453	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1328	1328	0	182	0	27	100.0	quant	Thu May 21 15:58:36 2026	Thu May 21 15:58:37 2026
PattyBouvier	1.11.4	none	vb	[]	1	['IU']	1001	248.17453118521365	191.1801019621987	False	False	4096	mapping	False	679	0	473	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1320	1320	0	220	0	75	100.0	quant	Thu May 21 15:58:37 2026	Thu May 21 15:58:37 2026
SelmaBouvier	1.11.4	none	vb	[]	1	['IU']	1001	206.18961208259222	135.41159358866292	False	False	4096	mapping	False	679	0	451	False	['range_factorized', 'gzipped']	[3652, 5067, 6725, 8931, 59566]	e528f9ad61fb55bf4649a71ee17a505db236c0b10fb4e387f9bd75b724fc470d	2d4d926f0ed6774faa5a003bc0ce53fce39613c0a2db440d7e2bd34903f0c5a7	be197109e6d703f1b7c27e953603a67c0919c914b280119bd5cc001799fbfb939ed06b8b96e2cc2d4373aa34fdbdac1ac02a51572c0d104d213a77ad9e6e131f	d64b34e8a667396706194c16d4b6e66fa3107dadec139c6abe6e1c9a4720ea0598620cbbd8493e03d4344947a43dc77f810972624a88a4b9e4c2301aae2cd4f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	1328	1328	0	214	0	4	100.0	quant	Thu May 21 15:58:37 2026	Thu May 21 15:58:38 2026
