"logFC","logCPM","F","PValue","FDR","gene_id"
-1.00691154507782,15.8800900352324,876.644678262688,8.28013382430478e-06,0.000306364951499277,"UBR2"
-3.04797554289789,15.0306630703275,241.481994103564,0.000105051777525418,0.00194345788422024,"MC4R"
-1.43632371816784,14.7597784389007,141.298591496073,0.000298784400967378,0.003685007611931,"FTO"
-1.48374822764229,14.9435771635678,105.774683659437,0.000522990345742402,0.00483766069811722,"SIM1"
2.66199879955015,14.6111814917593,63.8907179905176,0.00136889627367556,0.0101298324251991,"LEPR"
0.956389846418698,14.1669150540492,46.2698650023063,0.0025047535176004,0.0154459800252025,"UHMK1"
0.742191423630579,15.2529785192936,36.0527923573908,0.00396241437430081,0.0207976155448088,"POMC"
0.799318636411879,15.2585364885329,33.6261998825155,0.00449678173941812,0.0207976155448088,"SH2B1"
0.500453735993787,15.2914557534022,24.3493368122702,0.00799441462090225,0.0328659267748204,"PCSK1"
-0.565899360858384,14.3960705282704,34.4439856750815,0.030832535660094,0.114080381942348,"CREBRF"
-0.352120691173442,15.1728389004519,14.1696353110295,0.0705385398637211,0.237265997723425,"KSR2"
0.500680869974908,14.385931698066,4.76635804834034,0.0948990025129252,0.292605257748186,"KIAA0586"
0.375468017035036,14.7280329558143,3.24097747259746,0.146710362641965,0.417560262904053,"MRAP2"
0.605410064171132,13.9086105257193,2.56587798591583,0.184961880580015,0.488827827247181,"TMEM18"
0.230539114078885,14.9641061974811,19.0786951304363,0.259148040855109,0.639231834109268,"DPP9"
-0.358461518419568,14.4456462777474,1.11182467241062,0.351562698157176,0.748247341929803,"LEP"
-0.288172549912727,14.2248801732288,0.949683160773046,0.385352612174161,0.748247341929803,"KIAA1109"
0.24193190218676,14.081678526454,1.67962750063276,0.391743896150575,0.748247341929803,"ROBO1"
-0.193996247921565,14.7360374757827,0.908320189366266,0.394893384067166,0.748247341929803,"PPARG"
-0.140174883751996,15.5490780480018,4.93744906741116,0.404458022664758,0.748247341929803,"GPR151"
-0.263820161585301,14.3022827632209,0.748847287476,0.435985725863418,0.76816532652126,"PHIP"
0.0919577352122615,15.2914706235921,6.25618870351004,0.614254968695887,0.919194252334707,"CNR1"
0.0989511830925891,14.8211488067319,0.23681590810614,0.652150532610041,0.919194252334707,"GPR75"
-0.0959932713434939,14.8582451778496,0.972210164534445,0.655293322164505,0.919194252334707,"NRP2"
0.0814824277616922,14.7200067075811,0.283918714049039,0.716473093995446,0.919194252334707,"GIPR"
0.0963283683098144,13.9776561184027,1.25427812716936,0.744172192478436,0.919194252334707,"NTRK2"
0.0470381853436222,15.0175495157655,0.492289673538814,0.815598882934311,0.919194252334707,"SPARC"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"ADCY3"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"AGRP"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"ANKRD27"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"ANO4"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"BDNF"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"CADM1"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"CADM2"
-0.0380654705142013,14.6455824918967,2.73879677636083,0.86950807653283,0.919194252334707,"CALCR"
0.0428211012615744,14.6624548842602,0.0194616341894143,0.895839712415678,0.920724148871669,"PDE3B"
-0.0214474748358165,14.5029791545435,0.00985617570863865,0.929959164705791,0.929959164705791,"NRP1"
